Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
DecisionTreeClassifier,0.9137,0.9193,0.9137,0.9024,0.9137,0.9188,0.9137,0.9115,0.9154,0.9214,0.9154,0.9131,0.9678,not-balanced,100,10,6,2,755,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0041, 'anger': 0.0036, 'anticipation': 0.007, 'trust': 0.0045, 'surprise': 0.0048, 'sadness': 0.0063, 'disgust': 0.0038, 'joy': 0.0097, 'a_score': 0.369}",DecisionTreeClassifier()
RandomForestClassifier,0.9141,0.9203,0.9141,0.9026,0.914,0.9206,0.914,0.9116,0.9153,0.9222,0.9153,0.9129,0.9744,not-balanced,100,10,6,4,239,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0076, 'anger': 0.0032, 'anticipation': 0.0034, 'trust': 0.004, 'surprise': 0.0041, 'sadness': 0.0073, 'disgust': 0.0046, 'joy': 0.0047, 'a_score': 0.3632}",RandomForestClassifier()
DecisionTreeClassifier,0.9144,0.92,0.9144,0.9028,0.9144,0.9209,0.9144,0.9121,0.9153,0.9224,0.9153,0.9128,0.9669,not-balanced,100,10,3,3,973,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0054, 'anger': 0.0037, 'anticipation': 0.0063, 'trust': 0.0059, 'surprise': 0.005, 'sadness': 0.0062, 'disgust': 0.0047, 'joy': 0.0051, 'a_score': 0.3639}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9137,0.9192,0.9137,0.9023,0.9133,0.9184,0.9133,0.9111,0.9153,0.9213,0.9153,0.913,0.9678,not-balanced,100,10,9,5,755,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0042, 'anger': 0.0035, 'anticipation': 0.0075, 'trust': 0.0046, 'surprise': 0.0048, 'sadness': 0.0062, 'disgust': 0.0034, 'joy': 0.0095, 'a_score': 0.3634}",DecisionTreeClassifier()
RandomForestClassifier,0.9168,0.9217,0.9168,0.9064,0.9081,0.915,0.9081,0.9053,0.9153,0.9217,0.9153,0.9129,0.9758,not-balanced,100,10,10,1,430,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0055, 'anger': 0.0047, 'anticipation': 0.0041, 'trust': 0.0048, 'surprise': 0.0044, 'sadness': 0.0068, 'disgust': 0.0054, 'joy': 0.004, 'a_score': 0.3704}",RandomForestClassifier()
DecisionTreeClassifier,0.9153,0.921,0.9153,0.9041,0.9138,0.9209,0.9138,0.9113,0.9153,0.9227,0.9153,0.9128,0.9673,not-balanced,100,10,5,4,891,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0055, 'anger': 0.0039, 'anticipation': 0.0037, 'trust': 0.0038, 'surprise': 0.0055, 'sadness': 0.0048, 'disgust': 0.0041, 'joy': 0.0054, 'a_score': 0.3688}",DecisionTreeClassifier()
DecisionTreeClassifier,0.913,0.9192,0.913,0.902,0.9176,0.9228,0.9176,0.9154,0.9153,0.922,0.9153,0.9129,0.969,not-balanced,100,10,9,3,999,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0062, 'anger': 0.0039, 'anticipation': 0.0067, 'trust': 0.0043, 'surprise': 0.0053, 'sadness': 0.0064, 'disgust': 0.0055, 'joy': 0.0054, 'a_score': 0.3694}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9123,0.9177,0.9123,0.9011,0.9156,0.9202,0.9156,0.9135,0.9152,0.9208,0.9152,0.913,0.9657,not-balanced,100,10,10,3,869,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0047, 'anger': 0.0048, 'anticipation': 0.0062, 'trust': 0.0047, 'surprise': 0.0045, 'sadness': 0.0054, 'disgust': 0.0037, 'joy': 0.0074, 'a_score': 0.3704}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9134,0.9188,0.9134,0.9021,0.9168,0.9222,0.9168,0.9147,0.9152,0.9211,0.9152,0.9129,0.9656,not-balanced,100,10,2,2,644,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0056, 'anger': 0.0045, 'anticipation': 0.006, 'trust': 0.0057, 'surprise': 0.0042, 'sadness': 0.005, 'disgust': 0.0048, 'joy': 0.0104, 'a_score': 0.3665}",DecisionTreeClassifier()
RandomForestClassifier,0.9105,0.9157,0.9105,0.8992,0.9151,0.9202,0.9151,0.913,0.9151,0.9209,0.9151,0.9128,0.9739,not-balanced,100,10,6,2,869,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0057, 'anger': 0.0041, 'anticipation': 0.0048, 'trust': 0.0052, 'surprise': 0.0042, 'sadness': 0.0058, 'disgust': 0.0041, 'joy': 0.0076, 'a_score': 0.3676}",RandomForestClassifier()
