Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
KNeighborsClassifier,0.8278,0.838,0.8278,0.7484,0.834,0.8214,0.834,0.8231,0.8424,0.8321,0.8424,0.8324,0.9548,not-balanced,100,10,7,2,192,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0098, 'anger': 0.0039, 'anticipation': 0.0043, 'trust': 0.0036, 'surprise': 0.0057, 'sadness': 0.0131, 'disgust': 0.0026, 'joy': 0.0006, 'a_score': 0.3932}",KNeighborsClassifier()
KNeighborsClassifier,0.8318,0.8336,0.8318,0.7135,0.836,0.8504,0.836,0.8373,0.8423,0.8568,0.8423,0.8436,0.9533,not-balanced,100,10,5,3,904,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0047, 'anger': 0.0056, 'anticipation': 0.0067, 'trust': 0.0049, 'surprise': 0.007, 'sadness': 0.0077, 'disgust': 0.0061, 'joy': 0.0068, 'a_score': 0.424}",KNeighborsClassifier()
KNeighborsClassifier,0.8339,0.8428,0.8339,0.7508,0.8389,0.8525,0.8389,0.84,0.8422,0.8559,0.8422,0.8432,0.9392,not-balanced,100,10,6,1,269,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0048, 'anger': 0.0044, 'anticipation': 0.0082, 'trust': 0.0065, 'surprise': 0.0044, 'sadness': 0.0064, 'disgust': 0.0069, 'joy': 0.0056, 'a_score': 0.4218}",KNeighborsClassifier()
KNeighborsClassifier,0.8366,0.8423,0.8366,0.7416,0.8416,0.8322,0.8416,0.8333,0.8417,0.8332,0.8417,0.8341,0.9441,not-balanced,100,10,1,4,901,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0067, 'anger': 0.0033, 'anticipation': 0.0043, 'trust': 0.0062, 'surprise': 0.0059, 'sadness': 0.0084, 'disgust': 0.0031, 'joy': 0.003, 'a_score': 0.3927}",KNeighborsClassifier()
KNeighborsClassifier,0.8297,0.8381,0.8297,0.7244,0.8365,0.8273,0.8365,0.829,0.8402,0.8313,0.8402,0.8326,0.944,not-balanced,100,10,7,4,320,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0045, 'anger': 0.0048, 'anticipation': 0.0057, 'trust': 0.0034, 'surprise': 0.0061, 'sadness': 0.0078, 'disgust': 0.0041, 'joy': 0.0036, 'a_score': 0.3937}",KNeighborsClassifier()
KNeighborsClassifier,0.8308,0.8384,0.8308,0.733,0.8356,0.8467,0.8356,0.8363,0.8401,0.8515,0.8401,0.8412,0.9524,not-balanced,100,10,10,3,98,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0066, 'anger': 0.0036, 'anticipation': 0.0051, 'trust': 0.0062, 'surprise': 0.0062, 'sadness': 0.0069, 'disgust': 0.0038, 'joy': 0.0062, 'a_score': 0.4184}",KNeighborsClassifier()
KNeighborsClassifier,0.8383,0.84,0.8383,0.7322,0.8094,0.833,0.8094,0.8153,0.8194,0.8392,0.8194,0.8243,0.9582,not-balanced,100,10,3,5,306,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0064, 'anger': 0.0006, 'anticipation': 0.0029, 'trust': 0.0026, 'surprise': 0.0016, 'sadness': 0.0039, 'disgust': -0.0004, 'joy': 0.0031, 'a_score': 0.4039}",KNeighborsClassifier()
KNeighborsClassifier,0.8339,0.837,0.8339,0.731,0.8162,0.8207,0.8162,0.8102,0.8193,0.8254,0.8193,0.8134,0.9487,not-balanced,100,10,6,3,624,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0004, 'anger': 0.0001, 'anticipation': -0.0001, 'trust': 0.0019, 'surprise': 0.0, 'sadness': 0.0005, 'disgust': -0.0007, 'joy': -0.0008, 'a_score': 0.3668}",KNeighborsClassifier()
KNeighborsClassifier,0.8354,0.8357,0.8354,0.7203,0.8207,0.8278,0.8207,0.817,0.819,0.8245,0.819,0.8147,0.9439,not-balanced,100,10,3,4,658,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0016, 'anger': 0.0011, 'anticipation': 0.0009, 'trust': 0.0013, 'surprise': 0.0003, 'sadness': 0.0029, 'disgust': 0.0017, 'joy': 0.0029, 'a_score': 0.3648}",KNeighborsClassifier()
KNeighborsClassifier,0.8303,0.8367,0.8303,0.7381,0.8135,0.8306,0.8135,0.8176,0.819,0.8371,0.819,0.8237,0.9513,not-balanced,100,10,6,4,859,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0058, 'anger': 0.001, 'anticipation': 0.0018, 'trust': 0.0014, 'surprise': 0.0001, 'sadness': 0.0052, 'disgust': -0.0004, 'joy': -0.0, 'a_score': 0.3959}",KNeighborsClassifier()
