Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
RandomForestClassifier,0.8463,0.8433,0.8463,0.7193,0.8431,0.8358,0.8431,0.8346,0.8544,0.8485,0.8544,0.847,0.9623,not-balanced,100,10,6,3,58,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0098, 'anger': 0.0076, 'anticipation': 0.0088, 'trust': 0.0109, 'surprise': 0.007, 'sadness': 0.0107, 'disgust': 0.0068, 'joy': 0.0076, 'a_score': 0.4138}",RandomForestClassifier()
RandomForestClassifier,0.847,0.8684,0.847,0.7881,0.8457,0.8706,0.8457,0.846,0.8544,0.8777,0.8544,0.8543,0.9626,not-balanced,100,10,4,1,272,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0092, 'anger': 0.0061, 'anticipation': 0.0096, 'trust': 0.0089, 'surprise': 0.0067, 'sadness': 0.0102, 'disgust': 0.0058, 'joy': 0.0074, 'a_score': 0.439}",RandomForestClassifier()
DecisionTreeClassifier,0.8444,0.8582,0.8444,0.7649,0.8466,0.868,0.8466,0.8467,0.8544,0.8768,0.8544,0.8546,0.9487,not-balanced,100,10,7,2,224,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0143, 'anger': 0.0065, 'anticipation': 0.011, 'trust': 0.0091, 'surprise': 0.0082, 'sadness': 0.0135, 'disgust': 0.0084, 'joy': 0.0114, 'a_score': 0.4379}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8435,0.856,0.8435,0.7744,0.8415,0.8563,0.8415,0.8414,0.8543,0.8677,0.8543,0.8539,0.9462,not-balanced,100,10,6,3,554,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0163, 'anger': 0.007, 'anticipation': 0.0091, 'trust': 0.0137, 'surprise': 0.0098, 'sadness': 0.0123, 'disgust': 0.0092, 'joy': 0.0083, 'a_score': 0.4375}",DecisionTreeClassifier()
RandomForestClassifier,0.8435,0.8477,0.8435,0.7355,0.8441,0.8357,0.8441,0.8345,0.8543,0.8474,0.8543,0.8457,0.9623,not-balanced,100,10,10,4,892,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0114, 'anger': 0.0064, 'anticipation': 0.0082, 'trust': 0.0112, 'surprise': 0.0085, 'sadness': 0.0113, 'disgust': 0.0051, 'joy': 0.0066, 'a_score': 0.4115}",RandomForestClassifier()
DecisionTreeClassifier,0.8389,0.8407,0.8389,0.7283,0.8457,0.8355,0.8457,0.8358,0.8543,0.8464,0.8543,0.8448,0.9462,not-balanced,100,10,1,4,54,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0131, 'anger': 0.0079, 'anticipation': 0.0088, 'trust': 0.013, 'surprise': 0.0081, 'sadness': 0.0116, 'disgust': 0.0064, 'joy': 0.0097, 'a_score': 0.4114}",DecisionTreeClassifier()
RandomForestClassifier,0.8479,0.8713,0.8479,0.7943,0.8442,0.876,0.8442,0.8451,0.8542,0.8812,0.8542,0.8544,0.962,not-balanced,100,10,4,3,906,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0106, 'anger': 0.0058, 'anticipation': 0.0086, 'trust': 0.0093, 'surprise': 0.0081, 'sadness': 0.0107, 'disgust': 0.0065, 'joy': 0.0072, 'a_score': 0.4414}",RandomForestClassifier()
DecisionTreeClassifier,0.8481,0.8648,0.8481,0.7864,0.8426,0.8597,0.8426,0.843,0.8541,0.8701,0.8541,0.854,0.9491,not-balanced,100,10,9,2,263,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0153, 'anger': 0.0059, 'anticipation': 0.0114, 'trust': 0.0112, 'surprise': 0.0101, 'sadness': 0.0155, 'disgust': 0.0097, 'joy': 0.0084, 'a_score': 0.4401}",DecisionTreeClassifier()
RandomForestClassifier,0.8457,0.8676,0.8457,0.7888,0.8492,0.8728,0.8492,0.8497,0.8541,0.8759,0.8541,0.8544,0.9618,not-balanced,100,10,6,4,413,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0108, 'anger': 0.0061, 'anticipation': 0.0081, 'trust': 0.0101, 'surprise': 0.0083, 'sadness': 0.0084, 'disgust': 0.007, 'joy': 0.0116, 'a_score': 0.4399}",RandomForestClassifier()
RandomForestClassifier,0.8463,0.8653,0.8463,0.7752,0.8443,0.8693,0.8443,0.8444,0.8541,0.8785,0.8541,0.8541,0.962,not-balanced,100,10,5,1,474,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0097, 'anger': 0.0067, 'anticipation': 0.0087, 'trust': 0.01, 'surprise': 0.008, 'sadness': 0.0115, 'disgust': 0.0053, 'joy': 0.0106, 'a_score': 0.4405}",RandomForestClassifier()
