Algorithm;Accuracy;Precision;Recall;F1 Score;AUC;Ngram;Vect. Strategy;Bal. Strategy;% of Features;Folds;Feat. Selec. Strategy;Hyper Params.;Model
LogisticRegression;0.9303;0.9347;0.9303;0.9184;0.9799;(1, 2);TF-IDF;mixed;30;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9285;0.9331;0.9285;0.9178;0.9809;(1, 2);TF-IDF;smote;30;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9285;0.9342;0.9285;0.91;0.978;(1, 2);TF-IDF;over;30;5;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9278;0.9335;0.9278;0.911;0.976;(1, 2);TF-IDF;mixed;30;5;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9263;0.9314;0.9263;0.9092;0.9767;(1, 2);TF-IDF;under;30;5;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9261;0.9319;0.9261;0.9094;0.9773;(1, 2);TF-IDF;smote;30;5;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9254;0.9322;0.9254;0.9097;0.9732;(1, 2);TF-IDF;under;30;5;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9244;0.931;0.9244;0.9066;0.9726;(1, 2);TF-IDF;mixed;30;5;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9239;0.9304;0.9239;0.9086;0.9743;(1, 2);TF-IDF;mixed;30;5;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9232;0.9297;0.9232;0.9048;0.9734;(1, 2);TF-IDF;over;30;5;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9222;0.929;0.9222;0.9053;0.9741;(1, 2);TF-IDF;smote;30;5;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9203;0.9274;0.9203;0.9018;0.9738;(1, 2);TF-IDF;under;30;5;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9203;0.9274;0.9203;0.9042;0.9753;(1, 2);TF-IDF;over;30;5;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9201;0.9276;0.9201;0.9021;0.9748;(1, 2);TF-IDF;over;30;5;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9194;0.9263;0.9194;0.9008;0.9707;(1, 2);TF-IDF;smote;30;5;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9187;0.925;0.9187;0.9005;0.9731;(1, 2);TF-IDF;smote;30;5;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9184;0.9266;0.9184;0.9023;0.9702;(1, 2);TF-IDF;under;30;5;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9182;0.9261;0.9182;0.8977;0.9734;(1, 2);TF-IDF;mixed;30;5;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9167;0.9232;0.9167;0.8953;0.9707;(1, 2);TF-IDF;over;30;5;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.916;0.9219;0.916;0.8952;0.9707;(1, 2);TF-IDF;mixed;30;5;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9138;0.919;0.9138;0.9075;0.9764;(1, 2);TF-IDF;under;20;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9138;0.9192;0.9138;0.9072;0.9726;(1, 2);TF-IDF;over;20;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9138;0.9209;0.9138;0.8925;0.9718;(1, 2);TF-IDF;under;30;5;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9133;0.9216;0.9133;0.8908;0.9717;(1, 2);TF-IDF;smote;30;5;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9125;0.9181;0.9125;0.9058;0.975;(1, 2);TF-IDF;mixed;20;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9125;0.9169;0.9125;0.9049;0.9718;(1, 2);TF-IDF;mixed;20;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9123;0.9177;0.9123;0.9049;0.9732;(1, 2);TF-IDF;under;20;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9121;0.917;0.9121;0.9057;0.9755;(1, 2);TF-IDF;under;20;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.911;0.9163;0.911;0.9022;0.9733;(1, 2);TF-IDF;over;20;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
