Algorithm;Accuracy;Precision;Recall;F1 Score;AUC;Ngram;Vect. Strategy;Bal. Strategy;% of Features;Folds;Feat. Selec. Strategy;Hyper Params.;Model
RandomForestClassifier;0.8618;0.8636;0.8618;0.8582;0.9476;(1, 2);TF-IDF;over;5;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8613;0.8623;0.8613;0.8542;0.9472;(1, 2);TF-IDF;over;10;5;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8612;0.8621;0.8612;0.855;0.9452;(1, 2);TF-IDF;smote;5;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8603;0.8617;0.8603;0.8566;0.9435;(1, 2);TF-IDF;smote;5;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8603;0.8618;0.8603;0.8566;0.9491;(1, 2);TF-IDF;smote;5;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8601;0.8624;0.8601;0.8513;0.9489;(1, 2);TF-IDF;over;10;5;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8601;0.8615;0.8601;0.8538;0.9478;(1, 2);TF-IDF;under;5;10;kbest;{'n_estimators': 50, 'random_state': 42};RandomForestClassifier(n_estimators=50, random_state=42)
RandomForestClassifier;0.8599;0.8615;0.8599;0.8559;0.9449;(1, 2);TF-IDF;under;5;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8599;0.8615;0.8599;0.854;0.9455;(1, 2);TF-IDF;over;10;5;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8594;0.8611;0.8594;0.8529;0.9461;(1, 2);TF-IDF;over;5;10;kbest;{'n_estimators': 50, 'random_state': 42};RandomForestClassifier(n_estimators=50, random_state=42)
RandomForestClassifier;0.8594;0.8607;0.8594;0.8497;0.9464;(1, 2);TF-IDF;over;10;5;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8594;0.8609;0.8594;0.8558;0.9478;(1, 2);TF-IDF;under;5;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8594;0.8605;0.8594;0.855;0.9456;(1, 2);TF-IDF;mixed;5;10;kbest;{'n_estimators': 50, 'random_state': 42};RandomForestClassifier(n_estimators=50, random_state=42)
RandomForestClassifier;0.8592;0.86;0.8592;0.8546;0.9491;(1, 2);TF-IDF;mixed;5;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.859;0.8599;0.859;0.8524;0.9459;(1, 2);TF-IDF;mixed;5;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.859;0.8598;0.859;0.8538;0.9453;(1, 2);TF-IDF;smote;10;5;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8588;0.8597;0.8588;0.8528;0.9444;(1, 2);TF-IDF;over;5;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8581;0.8599;0.8581;0.8536;0.9459;(1, 2);TF-IDF;mixed;5;10;kbest;{'n_estimators': 50, 'random_state': 42};RandomForestClassifier(n_estimators=50, random_state=42)
RandomForestClassifier;0.8579;0.8593;0.8579;0.8556;0.9462;(1, 2);TF-IDF;under;5;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8577;0.8596;0.8577;0.8518;0.9516;(1, 2);TF-IDF;over;5;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8575;0.8587;0.8575;0.8515;0.9432;(1, 2);TF-IDF;mixed;5;10;kbest;{'n_estimators': 50, 'random_state': 42};RandomForestClassifier(n_estimators=50, random_state=42)
RandomForestClassifier;0.8575;0.859;0.8575;0.8522;0.9443;(1, 2);TF-IDF;under;5;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8573;0.8581;0.8573;0.8536;0.9437;(1, 2);TF-IDF;smote;5;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8571;0.8587;0.8571;0.8527;0.9479;(1, 2);TF-IDF;over;5;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.857;0.8585;0.857;0.8506;0.9455;(1, 2);TF-IDF;mixed;10;5;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8568;0.8587;0.8568;0.8451;0.9483;(1, 2);TF-IDF;mixed;10;5;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8568;0.8591;0.8568;0.8521;0.941;(1, 2);TF-IDF;under;10;5;kbest;{'n_estimators': 50, 'random_state': 42};RandomForestClassifier(n_estimators=50, random_state=42)
RandomForestClassifier;0.8564;0.8582;0.8564;0.8527;0.9444;(1, 2);TF-IDF;under;5;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8564;0.8585;0.8564;0.8502;0.945;(1, 2);TF-IDF;over;5;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.856;0.8574;0.856;0.8511;0.9439;(1, 2);TF-IDF;over;5;10;kbest;{'n_estimators': 50, 'random_state': 42};RandomForestClassifier(n_estimators=50, random_state=42)
RandomForestClassifier;0.8558;0.8571;0.8558;0.8487;0.9415;(1, 2);TF-IDF;mixed;5;10;kbest;{'n_estimators': 50, 'random_state': 42};RandomForestClassifier(n_estimators=50, random_state=42)
RandomForestClassifier;0.8556;0.8574;0.8556;0.8452;0.9486;(1, 2);TF-IDF;smote;10;5;kbest;{'n_estimators': 50, 'random_state': 42};RandomForestClassifier(n_estimators=50, random_state=42)
RandomForestClassifier;0.8554;0.8581;0.8554;0.8526;0.9425;(1, 2);TF-IDF;under;5;10;kbest;{'n_estimators': 50, 'random_state': 42};RandomForestClassifier(n_estimators=50, random_state=42)
RandomForestClassifier;0.8547;0.8561;0.8547;0.8496;0.9459;(1, 2);TF-IDF;mixed;5;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8543;0.8557;0.8543;0.8501;0.9436;(1, 2);TF-IDF;smote;5;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8538;0.8548;0.8538;0.8506;0.9437;(1, 2);TF-IDF;mixed;5;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8532;0.8549;0.8532;0.8489;0.9437;(1, 2);TF-IDF;over;5;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8532;0.8544;0.8532;0.8474;0.9431;(1, 2);TF-IDF;mixed;10;5;kbest;{'n_estimators': 50, 'random_state': 42};RandomForestClassifier(n_estimators=50, random_state=42)
RandomForestClassifier;0.8507;0.8519;0.8507;0.8454;0.9432;(1, 2);TF-IDF;mixed;5;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8496;0.8517;0.8496;0.8441;0.9446;(1, 2);TF-IDF;smote;5;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8435;0.8444;0.8435;0.8387;0.9334;(1, 2);TF-IDF;under;5;5;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8423;0.8444;0.8423;0.8391;0.935;(1, 2);TF-IDF;smote;5;5;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8407;0.8423;0.8407;0.8341;0.938;(1, 2);TF-IDF;smote;5;5;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8377;0.8399;0.8377;0.8332;0.9269;(1, 2);TF-IDF;mixed;5;5;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8344;0.8363;0.8344;0.8307;0.9312;(1, 2);TF-IDF;mixed;5;5;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.833;0.8348;0.833;0.8311;0.9293;(1, 2);TF-IDF;mixed;5;5;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8327;0.8354;0.8327;0.83;0.9268;(1, 2);TF-IDF;under;5;5;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.832;0.8338;0.832;0.8271;0.9283;(1, 2);TF-IDF;smote;5;5;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8315;0.8327;0.8315;0.8244;0.9295;(1, 2);TF-IDF;over;5;5;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8308;0.8327;0.8308;0.8221;0.9274;(1, 2);TF-IDF;smote;5;5;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8308;0.8333;0.8308;0.8271;0.9277;(1, 2);TF-IDF;over;5;5;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.83;0.8324;0.83;0.8242;0.9278;(1, 2);TF-IDF;over;5;5;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8298;0.8319;0.8298;0.8296;0.9298;(1, 2);TF-IDF;under;5;5;kbest;{'n_estimators': 50, 'random_state': 42};RandomForestClassifier(n_estimators=50, random_state=42)
RandomForestClassifier;0.8293;0.8309;0.8293;0.8268;0.929;(1, 2);TF-IDF;mixed;5;5;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8291;0.8321;0.8291;0.8245;0.9293;(1, 2);TF-IDF;smote;5;5;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8288;0.831;0.8288;0.8201;0.929;(1, 2);TF-IDF;over;5;5;kbest;{'n_estimators': 50, 'random_state': 42};RandomForestClassifier(n_estimators=50, random_state=42)
RandomForestClassifier;0.8262;0.8279;0.8262;0.8171;0.9279;(1, 2);TF-IDF;under;5;5;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8257;0.8272;0.8257;0.8195;0.9241;(1, 2);TF-IDF;under;5;5;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8233;0.8274;0.8233;0.8188;0.9252;(1, 2);TF-IDF;over;5;5;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8219;0.8237;0.8219;0.8211;0.9278;(1, 2);TF-IDF;mixed;5;5;kbest;{'n_estimators': 50, 'random_state': 42};RandomForestClassifier(n_estimators=50, random_state=42)
