Algorithm;Accuracy;Precision;Recall;F1 Score;AUC;Ngram;Vect. Strategy;Bal. Strategy;% of Features;Folds;Feat. Selec. Strategy;Hyper Params.;Model
DecisionTreeClassifier;0.7404;0.7474;0.7404;0.7153;0.8591;(1, 2);TF-IDF;over;5;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7403;0.7477;0.7403;0.7102;0.8527;(1, 2);TF-IDF;smote;10;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.74;0.743;0.74;0.7121;0.8604;(1, 2);TF-IDF;smote;5;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.74;0.7473;0.74;0.7126;0.8599;(1, 2);TF-IDF;under;10;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.74;0.7436;0.74;0.7041;0.8582;(1, 2);TF-IDF;over;10;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7398;0.7484;0.7398;0.7113;0.8547;(1, 2);TF-IDF;under;10;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7398;0.7446;0.7398;0.709;0.8552;(1, 2);TF-IDF;over;10;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7396;0.7443;0.7396;0.7101;0.8586;(1, 2);TF-IDF;mixed;10;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.739;0.7434;0.739;0.7063;0.8572;(1, 2);TF-IDF;smote;10;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7388;0.7444;0.7388;0.7104;0.8578;(1, 2);TF-IDF;under;5;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7387;0.7446;0.7387;0.7113;0.855;(1, 2);TF-IDF;over;5;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
