Algorithm;Accuracy;Precision;Recall;F1 Score;AUC;Ngram;Vect. Strategy;Bal. Strategy;% of Features;Folds;Feat. Selec. Strategy;Hyper Params.;Model
MultinomialNB;0.849;0.8644;0.849;0.8483;0.9483;(1, 2);TF-IDF;over;20;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8489;0.8682;0.8489;0.8502;0.9449;(1, 2);TF-IDF;over;15;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8483;0.8674;0.8483;0.8433;0.9417;(1, 2);TF-IDF;under;20;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8481;0.8713;0.8481;0.8334;0.9318;(1, 2);TF-IDF;under;20;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8477;0.8675;0.8477;0.8472;0.943;(1, 2);TF-IDF;smote;15;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8472;0.8528;0.8472;0.8321;0.9532;(1, 1);TF-IDF;smote;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8469;0.8516;0.8469;0.8397;0.9601;(1, 2);TF-IDF;over;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8466;0.8529;0.8466;0.8356;0.955;(1, 1);TF-IDF;mixed;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8462;0.8534;0.8462;0.8325;0.9546;(1, 1);TF-IDF;over;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8462;0.8527;0.8462;0.8273;0.9525;(1, 1);TF-IDF;under;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.846;0.8591;0.846;0.8473;0.9478;(1, 2);TF-IDF;smote;20;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8459;0.8654;0.8459;0.8478;0.9414;(1, 2);TF-IDF;mixed;15;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8459;0.8528;0.8459;0.836;0.9528;(1, 1);TF-IDF;smote;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8457;0.8654;0.8457;0.8451;0.939;(1, 2);TF-IDF;over;15;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8445;0.8641;0.8445;0.8473;0.944;(1, 2);TF-IDF;smote;15;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8443;0.8651;0.8443;0.8366;0.9302;(1, 2);TF-IDF;smote;20;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8442;0.8556;0.8442;0.8463;0.9483;(1, 2);TF-IDF;mixed;20;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.844;0.8492;0.844;0.83;0.952;(1, 1);TF-IDF;over;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8438;0.8612;0.8438;0.8346;0.9359;(1, 2);TF-IDF;mixed;20;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8436;0.8632;0.8436;0.843;0.9388;(1, 2);TF-IDF;under;15;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8432;0.8579;0.8432;0.8433;0.9438;(1, 2);TF-IDF;mixed;20;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8427;0.8567;0.8427;0.8432;0.9455;(1, 2);TF-IDF;over;20;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8426;0.8519;0.8426;0.8466;0.9545;(1, 2);TF-IDF;under;20;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8421;0.8615;0.8421;0.846;0.9403;(1, 2);TF-IDF;smote;15;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.841;0.8547;0.841;0.8416;0.9467;(1, 2);TF-IDF;smote;20;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8407;0.8647;0.8407;0.83;0.9331;(1, 2);TF-IDF;over;15;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8406;0.8568;0.8406;0.8395;0.9409;(1, 2);TF-IDF;mixed;20;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8404;0.8535;0.8404;0.8385;0.948;(1, 2);TF-IDF;over;20;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8402;0.8532;0.8402;0.8428;0.9458;(1, 2);TF-IDF;over;20;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8399;0.8572;0.8399;0.8382;0.9365;(1, 2);TF-IDF;mixed;15;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8397;0.8473;0.8397;0.8235;0.9474;(1, 1);TF-IDF;smote;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8395;0.8466;0.8395;0.8228;0.9439;(1, 1);TF-IDF;mixed;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8393;0.8452;0.8393;0.8237;0.9531;(1, 1);TF-IDF;smote;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8391;0.8524;0.8391;0.8389;0.9468;(1, 2);TF-IDF;smote;20;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8385;0.8455;0.8385;0.8258;0.9541;(1, 1);TF-IDF;under;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8382;0.8555;0.8382;0.8412;0.9424;(1, 2);TF-IDF;mixed;15;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8374;0.8527;0.8374;0.838;0.9438;(1, 2);TF-IDF;over;20;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8373;0.8562;0.8373;0.8301;0.9343;(1, 2);TF-IDF;mixed;20;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.837;0.8436;0.837;0.8237;0.9535;(1, 1);TF-IDF;smote;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8367;0.848;0.8367;0.8387;0.9471;(1, 2);TF-IDF;smote;20;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8366;0.8439;0.8366;0.8168;0.9469;(1, 1);TF-IDF;over;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8359;0.8431;0.8359;0.8244;0.9549;(1, 1);TF-IDF;mixed;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8357;0.8442;0.8357;0.822;0.9368;(1, 1);TF-IDF;mixed;20;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.835;0.8559;0.835;0.8366;0.9385;(1, 2);TF-IDF;over;15;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8346;0.8475;0.8346;0.8386;0.9469;(1, 2);TF-IDF;smote;20;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8335;0.8402;0.8335;0.8208;0.9541;(1, 1);TF-IDF;under;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8335;0.8401;0.8335;0.8371;0.9522;(1, 2);TF-IDF;over;20;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
