Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;AUC;Bal. Strategy;Folds;Feat. Selec. Strategy;Model
LogisticRegression;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;LogisticRegression(max_iter=100000, multi_class='multinomial')
LogisticRegression;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;LogisticRegression(max_iter=100000, multi_class='multinomial')
LogisticRegression;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;LogisticRegression(max_iter=100000, multi_class='multinomial')
LogisticRegression;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;LogisticRegression(max_iter=100000, multi_class='multinomial')
LogisticRegression;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;LogisticRegression(max_iter=100000, multi_class='multinomial')
SVC;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;SVC(probability=True)
SVC;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;SVC(probability=True)
GaussianNB;0.9997;0.9997;0.9997;0.9997;1.0;1.0;1.0;1.0;0.9996;0.9996;0.9996;0.9996;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9997;0.9997;0.9997;0.9997;1.0;1.0;1.0;1.0;0.9996;0.9996;0.9996;0.9996;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9997;0.9997;0.9997;0.9997;0.9998;0.9998;0.9998;0.9998;0.9995;0.9995;0.9995;0.9995;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9997;0.9997;0.9997;0.9997;0.9993;0.9993;0.9993;0.9993;0.9995;0.9995;0.9995;0.9995;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9996;0.9996;0.9996;0.9996;1.0;1.0;1.0;1.0;0.9993;0.9993;0.9993;0.9993;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9996;0.9996;0.9996;0.9996;0.9995;0.9995;0.9995;0.9995;0.9993;0.9993;0.9993;0.9993;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9995;0.9995;0.9995;0.9995;0.9998;0.9998;0.9998;0.9998;0.9992;0.9992;0.9992;0.9992;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9996;0.9996;0.9996;0.9995;0.9991;0.9991;0.9991;0.9991;0.9992;0.9992;0.9992;0.9992;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9995;0.9995;0.9995;0.9995;0.9993;0.9993;0.9993;0.9993;0.9992;0.9992;0.9992;0.9992;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9996;0.9996;0.9996;0.9995;0.9995;0.9995;0.9995;0.9995;0.9991;0.9991;0.9991;0.9991;1.0;not-balanced;10;none;GaussianNB()
