Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
RandomForestClassifier,0.8481,0.8526,0.8481,0.741,0.8417,0.83,0.8417,0.8295,0.8516,0.8416,0.8516,0.8406,0.9631,not-balanced,100,10,4,3,461,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0122, 'anger': 0.0064, 'anticipation': 0.0088, 'trust': 0.011, 'surprise': 0.0074, 'sadness': 0.0121, 'disgust': 0.0058, 'joy': 0.008, 'a_score': 0.4073}",RandomForestClassifier()
RandomForestClassifier,0.8432,0.8595,0.8432,0.7645,0.8492,0.8694,0.8492,0.849,0.8514,0.8723,0.8514,0.8515,0.9601,not-balanced,100,10,8,5,958,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0084, 'anger': 0.0057, 'anticipation': 0.0069, 'trust': 0.0102, 'surprise': 0.0072, 'sadness': 0.0111, 'disgust': 0.0057, 'joy': 0.0119, 'a_score': 0.4349}",RandomForestClassifier()
RandomForestClassifier,0.8458,0.8657,0.8458,0.783,0.8477,0.8689,0.8477,0.8476,0.8514,0.8711,0.8514,0.8514,0.9607,not-balanced,100,10,5,4,496,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0092, 'anger': 0.0059, 'anticipation': 0.0078, 'trust': 0.0096, 'surprise': 0.0083, 'sadness': 0.0102, 'disgust': 0.0061, 'joy': 0.0077, 'a_score': 0.4363}",RandomForestClassifier()
RandomForestClassifier,0.8448,0.8647,0.8448,0.7826,0.8481,0.8674,0.8481,0.848,0.8514,0.8702,0.8514,0.8513,0.9619,not-balanced,100,10,2,5,624,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0101, 'anger': 0.0069, 'anticipation': 0.0099, 'trust': 0.0091, 'surprise': 0.0077, 'sadness': 0.0112, 'disgust': 0.0055, 'joy': 0.009, 'a_score': 0.4331}",RandomForestClassifier()
RandomForestClassifier,0.847,0.8684,0.847,0.7913,0.8435,0.8643,0.8435,0.844,0.8512,0.8703,0.8512,0.8514,0.9613,not-balanced,100,10,1,3,899,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0116, 'anger': 0.0054, 'anticipation': 0.0093, 'trust': 0.0099, 'surprise': 0.007, 'sadness': 0.0115, 'disgust': 0.0091, 'joy': 0.0069, 'a_score': 0.4381}",RandomForestClassifier()
RandomForestClassifier,0.8436,0.8644,0.8436,0.7837,0.8442,0.8656,0.8442,0.8446,0.8512,0.8701,0.8512,0.8516,0.9613,not-balanced,100,10,5,1,237,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0105, 'anger': 0.0063, 'anticipation': 0.0073, 'trust': 0.011, 'surprise': 0.0079, 'sadness': 0.0105, 'disgust': 0.0049, 'joy': 0.0109, 'a_score': 0.4382}",RandomForestClassifier()
RandomForestClassifier,0.8459,0.834,0.8459,0.6893,0.8392,0.8273,0.8392,0.826,0.851,0.8401,0.851,0.8382,0.9621,not-balanced,100,10,8,4,225,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0089, 'anger': 0.0058, 'anticipation': 0.0097, 'trust': 0.0093, 'surprise': 0.0067, 'sadness': 0.0105, 'disgust': 0.0054, 'joy': 0.0082, 'a_score': 0.4075}",RandomForestClassifier()
RandomForestClassifier,0.846,0.8653,0.846,0.7835,0.8462,0.863,0.8462,0.8464,0.8509,0.8672,0.8509,0.8511,0.9616,not-balanced,100,10,2,3,890,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0089, 'anger': 0.0063, 'anticipation': 0.008, 'trust': 0.0094, 'surprise': 0.0068, 'sadness': 0.0105, 'disgust': 0.0069, 'joy': 0.0113, 'a_score': 0.433}",RandomForestClassifier()
RandomForestClassifier,0.8473,0.8686,0.8473,0.792,0.8462,0.8701,0.8462,0.8471,0.8509,0.8723,0.8509,0.8514,0.9622,not-balanced,100,10,10,1,475,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0102, 'anger': 0.0067, 'anticipation': 0.0095, 'trust': 0.0105, 'surprise': 0.0102, 'sadness': 0.0099, 'disgust': 0.0062, 'joy': 0.013, 'a_score': 0.4395}",RandomForestClassifier()
RandomForestClassifier,0.8418,0.8637,0.8418,0.7768,0.8487,0.8658,0.8487,0.8479,0.8507,0.8679,0.8507,0.8505,0.9608,not-balanced,100,10,2,4,154,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.012, 'anger': 0.0052, 'anticipation': 0.009, 'trust': 0.0097, 'surprise': 0.0076, 'sadness': 0.0127, 'disgust': 0.0064, 'joy': 0.008, 'a_score': 0.4378}",RandomForestClassifier()
