Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
MLPClassifier,0.5962,0.6208,0.5962,0.4653,0.6145,0.6282,0.6145,0.5629,0.6152,0.6358,0.6152,0.5645,0.7712,not-balanced,100,10,4,3,365,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0105, 'anger': 0.0018, 'anticipation': 0.0099, 'trust': 0.0076, 'surprise': 0.004, 'sadness': 0.0051, 'disgust': 0.0063, 'joy': 0.0033, 'a_score': 0.1566}",MLPClassifier()
MLPClassifier,0.6024,0.6308,0.6024,0.4624,0.6108,0.6168,0.6108,0.5714,0.615,0.6231,0.615,0.5763,0.7572,not-balanced,100,10,8,5,601,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0145, 'anger': 0.008, 'anticipation': 0.0126, 'trust': 0.0074, 'surprise': 0.0082, 'sadness': 0.0063, 'disgust': 0.0031, 'joy': 0.0067, 'a_score': 0.1479}",MLPClassifier()
MLPClassifier,0.5981,0.6268,0.5981,0.454,0.6131,0.6329,0.6131,0.558,0.6149,0.6262,0.6149,0.56,0.7547,not-balanced,100,10,1,5,462,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0044, 'anger': 0.004, 'anticipation': 0.0034, 'trust': 0.0044, 'surprise': 0.0023, 'sadness': 0.0036, 'disgust': 0.0057, 'joy': 0.0046, 'a_score': 0.1487}",MLPClassifier()
MLPClassifier,0.6167,0.638,0.6167,0.4891,0.6072,0.6196,0.6072,0.5597,0.6127,0.6295,0.6127,0.5656,0.771,not-balanced,100,10,6,4,614,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0101, 'anger': 0.0061, 'anticipation': 0.0159, 'trust': 0.0088, 'surprise': 0.0033, 'sadness': 0.0147, 'disgust': 0.008, 'joy': 0.0063, 'a_score': 0.1483}",MLPClassifier()
MLPClassifier,0.6108,0.6315,0.6108,0.4726,0.6056,0.6156,0.6056,0.5537,0.611,0.6302,0.611,0.5616,0.7769,not-balanced,100,10,3,5,461,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0048, 'anger': 0.0054, 'anticipation': 0.0039, 'trust': 0.0053, 'surprise': 0.005, 'sadness': 0.0102, 'disgust': 0.0038, 'joy': 0.0039, 'a_score': 0.1428}",MLPClassifier()
MLPClassifier,0.5789,0.5981,0.5789,0.4969,0.6187,0.6329,0.6187,0.5732,0.6108,0.6238,0.6108,0.5645,0.759,not-balanced,100,10,3,2,899,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0169, 'anger': 0.0065, 'anticipation': 0.0076, 'trust': 0.0055, 'surprise': 0.0037, 'sadness': 0.0102, 'disgust': 0.0128, 'joy': 0.0025, 'a_score': 0.1474}",MLPClassifier()
MLPClassifier,0.6043,0.6207,0.6043,0.4704,0.597,0.6059,0.597,0.5454,0.6098,0.6287,0.6098,0.5614,0.759,not-balanced,100,10,3,3,241,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.011, 'anger': 0.0052, 'anticipation': 0.0078, 'trust': 0.0114, 'surprise': 0.0064, 'sadness': 0.0083, 'disgust': 0.0079, 'joy': 0.0088, 'a_score': 0.1443}",MLPClassifier()
MLPClassifier,0.5938,0.6308,0.5938,0.4663,0.6135,0.627,0.6135,0.5666,0.6094,0.6212,0.6094,0.5622,0.7533,not-balanced,100,10,10,4,539,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0117, 'anger': 0.0061, 'anticipation': 0.0082, 'trust': 0.0056, 'surprise': 0.0095, 'sadness': 0.005, 'disgust': 0.004, 'joy': 0.0112, 'a_score': 0.1473}",MLPClassifier()
MLPClassifier,0.6152,0.6207,0.6152,0.4626,0.6061,0.6214,0.6061,0.5673,0.6091,0.6248,0.6091,0.5737,0.7727,not-balanced,100,10,9,3,942,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0106, 'anger': 0.0085, 'anticipation': 0.012, 'trust': 0.01, 'surprise': 0.0069, 'sadness': 0.0093, 'disgust': 0.0063, 'joy': 0.0146, 'a_score': 0.1762}",MLPClassifier()
MLPClassifier,0.5962,0.6086,0.5962,0.4927,0.6098,0.6384,0.6098,0.5534,0.6088,0.6338,0.6088,0.5525,0.766,not-balanced,100,10,1,2,314,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0158, 'anger': 0.0033, 'anticipation': 0.0063, 'trust': 0.0059, 'surprise': 0.0014, 'sadness': 0.0037, 'disgust': 0.0043, 'joy': 0.0076, 'a_score': 0.1414}",MLPClassifier()
MLPClassifier,0.6006,0.6145,0.6006,0.4712,0.6147,0.6223,0.6147,0.5719,0.6087,0.6218,0.6087,0.5666,0.7603,not-balanced,100,10,4,4,629,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0101, 'anger': 0.0044, 'anticipation': 0.0081, 'trust': 0.0079, 'surprise': 0.0045, 'sadness': 0.008, 'disgust': 0.009, 'joy': 0.0088, 'a_score': 0.1444}",MLPClassifier()
MLPClassifier,0.6116,0.6305,0.6116,0.4757,0.608,0.6147,0.608,0.5665,0.6076,0.6161,0.6076,0.5655,0.7599,not-balanced,100,10,9,4,224,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0078, 'anger': 0.0052, 'anticipation': 0.0118, 'trust': 0.0063, 'surprise': 0.0038, 'sadness': 0.0123, 'disgust': 0.0074, 'joy': 0.0071, 'a_score': 0.1418}",MLPClassifier()
MLPClassifier,0.5941,0.6191,0.5941,0.4732,0.6103,0.632,0.6103,0.557,0.6066,0.6152,0.6066,0.5541,0.7555,not-balanced,100,10,8,3,935,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0117, 'anger': 0.0031, 'anticipation': 0.0036, 'trust': 0.0044, 'surprise': 0.0027, 'sadness': 0.0047, 'disgust': 0.0046, 'joy': 0.0057, 'a_score': 0.1397}",MLPClassifier()
MLPClassifier,0.6141,0.6355,0.6141,0.474,0.6007,0.7207,0.6007,0.5099,0.6008,0.7201,0.6008,0.5109,0.7631,not-balanced,100,10,2,5,538,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.002, 'anger': 0.0025, 'anticipation': 0.0011, 'trust': 0.0011, 'surprise': 0.0018, 'sadness': 0.003, 'disgust': 0.0025, 'joy': 0.0004, 'a_score': 0.1757}",MLPClassifier()
MLPClassifier,0.6071,0.615,0.6071,0.4379,0.5879,0.6477,0.5879,0.5136,0.6,0.6608,0.6,0.5281,0.7616,not-balanced,100,10,10,5,438,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0107, 'anger': 0.0028, 'anticipation': 0.0024, 'trust': 0.0035, 'surprise': 0.0023, 'sadness': 0.0055, 'disgust': 0.0032, 'joy': 0.0014, 'a_score': 0.1706}",MLPClassifier()
MLPClassifier,0.605,0.6201,0.605,0.4576,0.5914,0.6605,0.5914,0.5156,0.5996,0.6676,0.5996,0.5248,0.7641,not-balanced,100,10,10,3,649,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0045, 'anger': 0.0034, 'anticipation': 0.0001, 'trust': 0.0029, 'surprise': 0.0031, 'sadness': 0.0094, 'disgust': 0.0026, 'joy': 0.0072, 'a_score': 0.1766}",MLPClassifier()
MLPClassifier,0.5964,0.6129,0.5964,0.4821,0.5964,0.6163,0.5964,0.5354,0.5973,0.6203,0.5973,0.5347,0.7633,not-balanced,100,10,4,2,310,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.004, 'anger': 0.0039, 'anticipation': 0.0027, 'trust': 0.0045, 'surprise': 0.0022, 'sadness': 0.0028, 'disgust': 0.0035, 'joy': 0.003, 'a_score': 0.1376}",MLPClassifier()
